Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_SIGNAL,BB_UPPER,BB_LOWER,BB_MIDDLE,ADX_14,OBV
2023-01-03,123.2112045288086,125.06999969482422,130.89999389648438,124.16999816894533,130.27999877929688,112117500,135.77899932861328,144.7933996582031,131.25249989827475,139.40884516789362,1.0,,,149.05076913619286,122.5072295210337,135.77899932861328,0.7411399533694798,
2023-01-04,124.4820327758789,126.36000061035156,128.66000366210938,125.08000183105467,126.88999938964844,89113600,135.77899932861328,144.7933996582031,131.25249989827475,139.40884516789362,1.0,0.0,0.0,149.05076913619286,122.5072295210337,135.77899932861328,0.7411399533694798,0.0
2023-01-05,123.1619644165039,125.0199966430664,127.7699966430664,124.76000213623048,127.12999725341795,80962700,135.77899932861328,144.7933996582031,131.25249989827475,139.40884516789362,0.9260075763065168,0.0,0.0,149.05076913619286,122.5072295210337,135.77899932861328,0.7411399533694798,-1.1547005383792517
2023-01-06,127.69358825683594,129.6199951171875,130.2899932861328,124.88999938964844,126.01000213623048,87754700,135.77899932861328,144.7933996582031,131.25249989827475,139.40884516789362,0.9419002740554788,0.0,0.0,149.05076913619286,122.5072295210337,135.77899932861328,0.7411399533694798,0.6070171329468634
2023-01-09,128.2156982421875,130.14999389648438,133.41000366210938,129.88999938964844,130.47000122070312,70790800,135.77899932861328,144.7933996582031,131.25249989827475,139.40884516789362,0.9434084899666214,0.0,0.0,149.05076913619286,122.5072295210337,135.77899932861328,0.7411399533694798,1.3691964348815453
2023-01-10,128.78709411621094,130.72999572753906,131.25999450683594,128.1199951171875,130.25999450683594,63896200,135.77899932861328,144.7933996582031,131.25249989827475,139.40884516789362,0.9450884250995512,0.0,0.0,149.05076913619286,122.5072295210337,135.77899932861328,0.7411399533694798,1.5369831222745252
2023-01-11,131.50608825683594,133.49000549316406,133.50999450683594,130.4600067138672,131.25,69458900,135.77899932861328,144.7933996582031,131.25249989827475,139.40884516789362,0.952338969203908,0.0,0.0,149.05076913619286,122.5072295210337,135.77899932861328,0.7411399533694798,1.613967773676511
2023-01-12,131.42726135253906,133.41000366210938,134.25999450683594,131.44000244140625,133.8800048828125,71379600,135.77899932861328,144.7933996582031,131.25249989827475,139.40884516789362,0.9484297873326426,0.0,0.0,149.05076913619286,122.5072295210337,135.77899932861328,0.7411399533694798,0.7999423738449055
2023-01-13,132.75717163085938,134.75999450683594,134.9199981689453,131.66000366210938,132.02999877929688,57809700,135.77899932861328,144.7933996582031,131.25249989827475,139.40884516789362,0.9520096304457172,0.0,0.0,149.05076913619286,122.5072295210337,135.77899932861328,0.7411399533694798,1.1874524999444755
2023-01-17,133.9196319580078,135.94000244140625,137.2899932861328,134.1300048828125,134.8300018310547,63646600,135.77899932861328,144.7933996582031,131.25249989827475,139.40884516789362,0.9549531586621738,0.0,0.0,149.05076913619286,122.5072295210337,135.77899932861328,0.7411399533694798,1.480042636215397
