Date,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_SIGNAL,BB_UPPER,BB_LOWER,BB_MIDDLE,ADX_14,OBV
2023-02-02,138.0199993133545,144.7933996582031,142.40767791138978,139.40884516789362,0.8644125945837803,0.0,0.0,151.41439064655768,124.62560798015132,138.0199993133545,0.7062737096867958,1.9758932203033381
2023-02-03,139.49399948120117,144.7933996582031,144.26803515579135,139.40884516789362,0.8826634735428547,0.0,0.0,153.34533792647554,125.6426610359268,139.49399948120117,0.7126489601791656,2.2663461030179293
2023-02-06,140.59949951171876,144.7933996582031,145.4160290899064,139.40884516789362,0.7958271633897689,0.0,0.0,154.66037486858747,126.53862415485005,140.59949951171876,0.7185688356363659,1.8006532153595416
2023-02-07,141.82449951171876,144.7933996582031,146.83663906014917,139.40884516789362,0.8163392305256462,0.0,0.0,156.31461047646152,127.33438854697597,141.82449951171876,0.7253380848765524,1.9017364681486393
2023-02-08,142.88399963378907,144.7933996582031,147.61869430765626,139.40884516789362,0.7413500105092707,0.0,0.0,157.05369315391337,128.71430611366478,142.88399963378907,0.7316238163138685,1.560150022232296
2023-02-09,143.75299911499025,144.7933996582031,148.11889443219954,140.25781923821168,0.7141764244352357,-3.0,0.0,157.62559090894368,129.8804073210368,143.75299911499025,0.7330113961589612,1.2993863997957003
2023-02-10,144.63299865722655,144.7933996582031,148.5636790590667,141.0542766655172,0.7156728744554015,-3.0,0.0,157.965430487602,131.3005668268511,144.63299865722655,0.7273106324168576,1.4085041609557947
2023-02-13,145.58749923706057,144.7933996582031,149.37696014282807,142.0021084757393,0.7448557816871723,-3.0,0.0,158.67494477691318,132.50005369720796,145.58749923706057,0.72518113983292,1.5161162088504132
2023-02-14,146.45049896240232,144.7933996582031,149.96511965135332,142.8315816959247,0.7264770225384765,-3.0,0.0,159.12925369591886,133.77174422888578,146.45049896240232,0.7228620203875186,1.2606992163650053
2023-02-15,147.45649871826174,144.7933996582031,150.79048614053815,143.75739059482322,0.7483861157995166,-3.0,0.0,159.55976141534532,135.35323602117816,147.45649871826174,0.722474920036341,1.394983878315733
2023-02-16,148.37849884033204,144.7933996582031,151.23964315181954,144.49462141845612,0.7023098636251558,-3.0,0.0,159.32734284050932,137.42965484015477,148.37849884033204,0.722921164079466,1.140436804465578
2023-02-17,149.11249923706055,144.7933996582031,151.44123698257928,145.09131635425626,0.6704777040479422,-3.0,0.0,159.0132094051528,139.2117890689683,149.11249923706055,0.7091791593518835,0.930980840593282
2023-02-21,149.48099899291992,144.7933996582031,150.98566140488077,145.3423296411661,0.572441023338789,-3.0,0.0,158.649119143717,140.31287884212284,149.48099899291992,0.6846618406155135,0.7325400240985166
2023-02-22,149.79999923706055,144.7933996582031,150.6663294444544,145.60660179086557,0.5794378387397222,-3.0,-3.0,158.37453850416964,141.22545996995146,149.79999923706055,0.6564312281226343,0.8683551350855377
2023-02-23,150.1769989013672,144.7933996582031,150.47150859092054,145.88759379868918,0.5877171702759533,-3.0,-3.0,157.90264707308827,142.45135072964612,150.1769989013672,0.6311545827785189,0.990634853925168
2023-02-24,150.3144989013672,144.7933996582031,149.89281599445079,145.94851327388756,0.5264447106930699,-3.0,-3.0,157.6629352752036,142.96606252753077,150.3144989013672,0.600989219339448,0.7996795886999306
2023-02-27,150.4139991760254,144.7933996582031,149.58930555975763,146.09454919204,0.5492107390557678,-3.0,-3.0,157.56366886642675,143.26432948562407,150.4139991760254,0.5781594688675454,0.9174651638352326
2023-02-28,150.63449935913087,144.7933996582031,149.25402834473482,146.191990263897,0.5374820777137388,-2.9733529884672607,-3.0,157.0563967322932,144.21260198596855,150.63449935913087,0.5542156492096008,0.7438362005277994
2023-03-01,150.68549957275394,144.7933996582031,148.6472543776362,146.12665747091157,0.49098580849508294,-2.91098763088523,-3.0,156.9083636885452,144.4626354569627,150.68549957275394,0.5242940706184205,0.5595969422950563
2023-03-02,150.70950012207032,144.7933996582031,148.22613888293975,146.11060904062992,0.5041834087500187,-2.791392559701372,-3.0,156.85017842316373,144.56882182097692,150.70950012207032,0.4921456984233948,0.7124308505595619
2023-03-03,150.71999969482425,144.7933996582031,148.65750194391777,146.47500828053117,0.5995882572694297,-2.5005524026264045,-3.0,156.8621914897219,144.5778078999266,150.71999969482425,0.47464706092238473,0.9180541535444889
2023-03-06,150.68649978637697,144.7933996582031,149.45327115732346,147.019822617607,0.640345814844078,-2.201668120837351,-3.0,156.74867303431586,144.62432653843808,150.68649978637697,0.46871171717105936,1.1653376314912114
2023-03-07,150.68000030517578,144.7933996582031,149.78353807212224,147.35909546841503,0.5889301622560568,-2.067517951781093,-2.951877596295984,156.7377400515487,144.62226055880285,150.68000030517578,0.45476575444379036,0.9642009027363371
2023-03-08,150.59100036621095,144.7933996582031,150.2583776175169,147.76731025721298,0.6082231785805167,-1.92535813316616,-2.756726613899425,156.45227038924983,144.72973034317206,150.59100036621095,0.44181593191132634,1.0874903807041927
