Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT
Date,,,,,,,,,,,,,,,,,,
2021-11-01,145.82798767089844,142.51406860351562,318.7062683105469,148.9600067138672,143.4969940185547,329.3699951171875,149.6999969482422,148.04600524902344,331.489990234375,147.8000030517578,143.22549438476562,326.3699951171875,148.99000549316406,148.04600524902344,331.3599853515625,74588300,46924000,27073200
2021-11-02,146.86572265625,144.43630981445312,322.344482421875,150.02000427246094,145.4324951171875,333.1300048828125,151.57000732421875,146.60899353027344,333.45001220703125,148.64999389648438,144.3354949951172,330.0,148.66000366210938,144.57949829101562,330.30999755859375,69122000,33482000,26487100
2021-11-03,148.30477905273438,145.59384155273438,323.1862487792969,151.49000549316406,146.59800720214844,334.0,151.97000122070312,146.66900634765625,334.8999938964844,149.82000732421875,144.59100341796875,330.6499938964844,150.38999938964844,145.90049743652344,333.8999938964844,54511500,27494000,21500100
2021-11-04,147.78594970703125,147.25189208984375,325.5472717285156,150.9600067138672,148.2675018310547,336.44000244140625,152.42999267578125,149.73350524902344,336.5400085449219,150.63999938964844,146.30799865722656,329.510009765625,151.5800018310547,147.12449645996094,332.8900146484375,60394600,38412000,23992200
2021-11-05,148.31532287597656,147.83238220214844,325.1795654296875,151.27999877929688,148.8520050048828,336.05999755859375,152.1999969482422,150.32749938964844,338.7900085449219,150.05999755859375,148.19700622558594,334.4200134277344,151.88999938964844,149.16949462890625,338.510009765625,65463900,38354000,22570100
2021-11-08,147.49183654785156,148.0101776123047,326.0794677734375,150.44000244140625,149.031005859375,336.989990234375,151.57000732421875,150.61500549316406,337.6499938964844,150.16000366210938,148.4304962158203,334.44000244140625,151.41000366210938,149.8249969482422,337.29998779296875,55020900,23052000,20897000
2021-11-09,147.85455322265625,147.89842224121094,325.0731506347656,150.80999755859375,148.9185028076172,335.95001220703125,151.42999267578125,149.83450317382812,338.7200012207031,150.05999755859375,147.2449951171875,334.5299987792969,150.1999969482422,149.23300170898438,337.1099853515625,56787900,19530000,21307400
2021-11-10,145.02120971679688,144.89413452148438,320.08990478515625,147.9199981689453,145.89349365234375,330.79998779296875,150.1300048828125,148.07000732421875,334.6300048828125,147.85000610351562,144.53750610351562,329.9200134277344,150.02000427246094,147.5,334.57000732421875,65187100,29970000,25500900
