Action,Reward
-0.5143869,-0.0002419999999999709
-0.5145351,0.1179695486307687
-0.5168688,0.18600356625531553
-0.53994894,0.2925524009972881
-0.5761746,0.42350681480867575
-0.60098,0.5474830650444972
-0.6033152,0.6381978979273362
-0.6054479,0.7031714340471263
-0.6105546,0.7469444942973072
-0.61924833,0.7764750390755476
-0.6295662,0.7963115312511274
-0.65535045,0.8175529311806502
-0.6995154,0.8443533108009831
-0.76497793,0.879681521862464
-0.76754963,0.8823345246548641
-0.7643516,0.8814677150093637
-0.76525843,0.8823071711243724
-0.7659981,0.8828829073601663
-0.7532468,0.8766219636441897
-0.7544812,0.8772969464180286
-0.7555205,0.877847178071166
-0.7594019,0.8798025006191279
-0.7613069,0.8807627900355313
-0.75198996,0.8761136577336945
-0.75424886,0.8772444605909798
-0.74581426,0.8730327054941177
-0.7426373,0.8714465078279165
-0.7428138,0.8715350719530864
-0.74621946,0.8732363872206002
-0.74408334,0.8756146375513968
-0.7466264,0.8776835140803468
-0.74122953,0.8762412749699624
-0.73739237,0.8762987756066316
-0.7250128,0.8730554272730939
-0.72592443,0.8774660456151491
-0.7269976,0.8831656592538477
-0.71891135,0.8856472479199685
-0.7219547,0.895562762891571
-0.7203925,0.9064147143185144
-0.71408015,0.9221895168705985
-0.71589124,0.9508553920911607
-0.7285259,0.9727698634975497
-0.73367786,0.9766800597906916
-0.7271544,0.9757598401632477
-0.72962964,0.9801048989011784
-0.72306764,0.9801961694644525
-0.71740544,0.980989131486562
-0.7220558,0.9841024612033388
-0.72657126,0.9895227693090638
-0.72739416,0.9947661009047748
-0.73288,1.0071576827621174
-0.73026925,1.021333691637932
-0.73465264,1.0332842615482063
-0.7377123,1.049610916687814
-0.73309946,1.0556297295494088
-0.7350656,1.0619920593343066
-0.7373389,1.068038112028658
-0.7307867,1.0788022560406003
-0.72871274,1.0918591482920794
-0.7349076,1.1174120099041438
-0.7376293,1.1263709163489315
-0.74150634,1.1196694677523513
-0.74326336,1.104334419573189
-0.7413467,1.0940182945216157
-0.7347317,1.0894516667523375
-0.73640203,1.0956545224979655
-0.7273764,1.0954681434357783
-0.7233943,1.0972821725374895
-0.72111464,1.1113408090150458
-0.7332186,1.1409610995981199
-0.73210454,1.1414092046652367
-0.7321446,1.141937469384002
-0.7346611,1.144513165636819
-0.7369037,1.1432176606432995
-0.733196,1.1516769689527682
-0.72716415,1.179564940466094
-0.7279612,1.1980046720688595
-0.72210073,1.1799862397893384
-0.7220627,1.1653481320546297
-0.73401165,1.1710009309994454
-0.73653734,1.170869661147354
-0.7361828,1.1694503292460305
-0.7319225,1.1711089668608032
-0.72755015,1.164945133246487
-0.7211515,1.1452330846644214
-0.73824036,1.1524036117384056
-0.7380067,1.1481664366432254
-0.7321393,1.1468841393258915
-0.73550206,1.1481434196798515
-0.7358519,1.1502913659842138
-0.73157465,1.1600150318691016
-0.7297365,1.1797190135643565
-0.7297365,1.1987614885259332
-0.73134124,1.2024263054241466
-0.73684925,1.204087111075974
-0.7374028,1.1993642390354837
-0.7327844,1.2114036044785155
-0.7218709,1.209653148131856
-0.72276956,1.1933045195054393
-0.72639847,1.1903709843729162
-0.7330202,1.1931917844318747
-0.73722804,1.1905841419799557
-0.737009,1.1902471181843004
-0.7426386,1.172053055610748
-0.7461685,1.1493057245773182
-0.7392343,1.142862792596107
-0.7382094,1.153535950447879
-0.73107445,1.167670529881755
-0.73868275,1.167534203879181
-0.7398991,1.1637002219309531
-0.7407689,1.1582346700283832
-0.7330462,1.154841867141583
-0.72982776,1.156642345598098
-0.7335034,1.1865136330997803
-0.7284215,1.180306683846592
-0.72860664,1.178014411357772
-0.7234417,1.1587085631838252
-0.7300272,1.1608586843262314
-0.72851694,1.1578314235308307
-0.72615117,1.1503272947132468
-0.7280313,1.1494261901023561
-0.73026735,1.15095059641235
-0.7308968,1.1510558024286306
-0.73758775,1.1535489328518804
-0.7311985,1.1528621991869499
-0.72651225,1.145660609241165
-0.7274393,1.1582161551980787
-0.7225444,1.1551149291378964
-0.71517456,1.119461653751578
-0.7270082,1.1227500047637593
-0.7294421,1.126177420666322
-0.7314401,1.130104188051559
-0.73183656,1.144725108176298
-0.7394378,1.17041624044553
-0.7382918,1.172159361831109
-0.742823,1.1613664266462156
-0.7324333,1.1559453759735363
-0.7274871,1.1603015394164302
-0.7297515,1.175147325461162
-0.7321081,1.1964158822040223
-0.7344022,1.1955740465746438
-0.7285538,1.1921553935591038
-0.7354054,1.1923240483162612
-0.73683465,1.1857399061904799
-0.732979,1.1834467090480665
-0.72034204,1.1677227919989688
-0.71513546,1.1327734361801007
-0.6910727,1.027947163472037
-0.6855004,0.9829994403232805
-0.6892314,0.9667832308624357
-0.6863258,0.9521106603722576
-0.68592465,0.9428393254161719
-0.68557644,0.9368646107525935
-0.6931096,0.9376562534467646
-0.68874097,0.9318239616768209
-0.68690366,0.9276798187419419
-0.68187463,0.9213662821635227
-0.6842985,0.9197959130367322
-0.69081414,0.9220098658050291
-0.6970397,0.9251406606487625
